hand,dominates_count,combos_dominated,blocks_count,combos_blocked,blocked_by_count,combos_blocked_by_count,dominated_by_count,combos_dominated_by_count,dom_ratio,block_ratio,dom_block_ratio,block_ratio_cat,dom_block_pc1,dom_block_pc2
QTs,34.0,272.0,47.0,100.0,47.0,50.0,11.0,44.0,6.181818181818182,2.0,5.44,2,-1.899435320968104,1.2352461778894717
Q9s,32.0,256.0,47.0,100.0,47.0,50.0,13.0,52.0,4.923076923076923,2.0,5.12,2,-1.6437952879920472,1.0410623375964356
Q8s,30.0,240.0,47.0,100.0,47.0,50.0,15.0,60.0,4.0,2.0,4.8,2,-1.388155255015991,0.8468784973033999
Q7s,28.0,224.0,47.0,100.0,47.0,50.0,17.0,68.0,3.2941176470588234,2.0,4.48,2,-1.1325152220399346,0.6526946570103641
Q6s,26.0,208.0,47.0,100.0,47.0,50.0,19.0,76.0,2.736842105263158,2.0,4.16,2,-0.8768751890638781,0.4585108167173282
Q5s,24.0,192.0,47.0,100.0,47.0,50.0,21.0,84.0,2.2857142857142856,2.0,3.84,2,-0.6212351560878214,0.2643269764242923
Q4s,22.0,176.0,47.0,100.0,47.0,50.0,23.0,92.0,1.9130434782608696,2.0,3.52,2,-0.365595123111765,0.07014313613125638
Q3s,20.0,160.0,47.0,100.0,47.0,50.0,25.0,100.0,1.6,2.0,3.2,2,-0.10995509013570855,-0.12404070416177951
Q2s,18.0,144.0,47.0,100.0,47.0,50.0,27.0,108.0,1.3333333333333333,2.0,2.88,2,0.14568494284034794,-0.3182245444548154
AJo,40.0,320.0,48.0,100.0,48.0,154.0,5.0,60.0,5.333333333333333,0.6493506493506493,2.0779220779220777,0,-1.945377622921613,2.357772507221823
KJo,38.0,304.0,48.0,100.0,48.0,154.0,7.0,84.0,3.619047619047619,0.6493506493506493,1.974025974025974,0,-1.6297249469077366,2.168570012764769
QJo,36.0,288.0,48.0,100.0,48.0,154.0,9.0,108.0,2.6666666666666665,0.6493506493506493,1.87012987012987,0,-1.3140722708938606,1.9793675183077153
JJo,18.0,144.0,25.0,100.0,25.0,76.0,0.0,0.0,144.0,1.3157894736842106,1.894736842105263,1,-3.583410907776925,-3.7850362895652636
JTs,32.0,256.0,47.0,100.0,47.0,50.0,13.0,52.0,4.923076923076923,2.0,5.12,2,-1.6437952879920472,1.0410623375964356
J9s,30.0,240.0,47.0,100.0,47.0,50.0,15.0,60.0,4.0,2.0,4.8,2,-1.388155255015991,0.8468784973033999
J8s,28.0,224.0,47.0,100.0,47.0,50.0,17.0,68.0,3.2941176470588234,2.0,4.48,2,-1.1325152220399346,0.6526946570103641
J7s,26.0,208.0,47.0,100.0,47.0,50.0,19.0,76.0,2.736842105263158,2.0,4.16,2,-0.8768751890638781,0.4585108167173282
J6s,24.0,192.0,47.0,100.0,47.0,50.0,21.0,84.0,2.2857142857142856,2.0,3.84,2,-0.6212351560878214,0.2643269764242923
J5s,22.0,176.0,47.0,100.0,47.0,50.0,23.0,92.0,1.9130434782608696,2.0,3.52,2,-0.365595123111765,0.07014313613125638
J4s,20.0,160.0,47.0,100.0,47.0,50.0,25.0,100.0,1.6,2.0,3.2,2,-0.10995509013570855,-0.12404070416177951
