,flop,suitedness,pairness,connectedness,high_low_texture,high_card,straightness
275,"('2s', '3c', 'Qc')",1.0,0.0,1.0,0.0,10.0,0.0
276,"('2s', '3c', 'Qd')",0.0,0.0,1.0,0.0,10.0,0.0
277,"('2s', '3c', 'Ks')",1.0,0.0,1.0,0.0,11.0,0.0
278,"('2s', '3c', 'Kh')",0.0,0.0,1.0,0.0,11.0,0.0
279,"('2s', '3c', 'Kc')",1.0,0.0,1.0,0.0,11.0,0.0
280,"('2s', '3c', 'Kd')",0.0,0.0,1.0,0.0,11.0,0.0
281,"('2s', '3c', 'As')",1.0,0.0,2.0,0.0,12.0,1.0
282,"('2s', '3c', 'Ah')",0.0,0.0,2.0,0.0,12.0,1.0
283,"('2s', '3c', 'Ac')",1.0,0.0,2.0,0.0,12.0,1.0
284,"('2s', '3c', 'Ad')",0.0,0.0,2.0,0.0,12.0,1.0
285,"('2s', '3d', '4s')",1.0,0.0,2.0,0.0,2.0,2.0
286,"('2s', '3d', '4h')",0.0,0.0,2.0,0.0,2.0,2.0
287,"('2s', '3d', '4c')",0.0,0.0,2.0,0.0,2.0,2.0
288,"('2s', '3d', '4d')",1.0,0.0,2.0,0.0,2.0,2.0
289,"('2s', '3d', '5s')",1.0,0.0,1.0,0.0,3.0,2.0
290,"('2s', '3d', '5h')",0.0,0.0,1.0,0.0,3.0,2.0
291,"('2s', '3d', '5c')",0.0,0.0,1.0,0.0,3.0,2.0
292,"('2s', '3d', '5d')",1.0,0.0,1.0,0.0,3.0,2.0
293,"('2s', '3d', '6s')",1.0,0.0,1.0,0.0,4.0,1.0
294,"('2s', '3d', '6h')",0.0,0.0,1.0,0.0,4.0,1.0
295,"('2s', '3d', '6c')",0.0,0.0,1.0,0.0,4.0,1.0
296,"('2s', '3d', '6d')",1.0,0.0,1.0,0.0,4.0,1.0
297,"('2s', '3d', '7s')",1.0,0.0,1.0,0.0,5.0,0.0
298,"('2s', '3d', '7h')",0.0,0.0,1.0,0.0,5.0,0.0
299,"('2s', '3d', '7c')",0.0,0.0,1.0,0.0,5.0,0.0
300,"('2s', '3d', '7d')",1.0,0.0,1.0,0.0,5.0,0.0
301,"('2s', '3d', '8s')",1.0,0.0,1.0,0.0,6.0,0.0
302,"('2s', '3d', '8h')",0.0,0.0,1.0,0.0,6.0,0.0
303,"('2s', '3d', '8c')",0.0,0.0,1.0,0.0,6.0,0.0
304,"('2s', '3d', '8d')",1.0,0.0,1.0,0.0,6.0,0.0
305,"('2s', '3d', '9s')",1.0,0.0,1.0,0.0,7.0,0.0
306,"('2s', '3d', '9h')",0.0,0.0,1.0,0.0,7.0,0.0
307,"('2s', '3d', '9c')",0.0,0.0,1.0,0.0,7.0,0.0
308,"('2s', '3d', '9d')",1.0,0.0,1.0,0.0,7.0,0.0
309,"('2s', '3d', 'Ts')",1.0,0.0,1.0,0.0,8.0,0.0
